8339297796318	8163909271774,8165631525086,8164166172894,8163931259102	14933887877501,8339286589662,8664074092766,14933939028349,14933921005949
5062638141578	8122456047838,8342572171486,8391319191774,4716924436618	-
4716924436618	8342572171486,4869714149514,8391319191774,4859222360202	8122456047838,5062638141578
16008958148989	-	-
4859222360202	4716924436618,8342572171486,4778981163146	15924662272381
16009297920381	-	16009484829053
15875403874685	15875496083837	15875401023869
15875405087101	15875492479357	15875402465661
15875401023869	15875496083837	15875403874685
15875402465661	15875492479357	15875405087101
4740189978762	4530961809546	4716677398666,4859764048010,4782908407946
8359156482270	7855436431582,7855467626718,7855507931358,7855517761758	6626588262550,6626600059030
15292222898557	15292213887357,8057116360926	15877019566461,15292107686269
15292128559485	-	-
15693648167293	15693620412797,15828443234685	8015156281566,15693620412797,15828443234685
15924692582781	8057116360926,8057122062558	7431737540830,7431781908702,6949632147606
15924695794045	8057116360926,8057122062558	7431737540830,7431781908702,6949632147606
15924681605501	8057122062558,8057116360926	7431737540830,7431781908702,6949632147606
15924677149053	8057122062558,8057116360926	7431737540830,7431781908702,6949632147606
15827419234685	15693507461501,15693508739453,15693562904957,15693571064189	8015156281566
15693508739453	8015156281566	15693571064189,15693562904957,15693507461501
15693571064189	8015156281566	15693508739453,15693562904957,15693507461501
15693562904957	8015156281566	15693508739453,15693507461501,15693571064189
15693507461501	(empty)	15693508739453,15693562904957,15693571064189
6124508610710	8057129828574	4387578052746
8057116360926	8057129828574	8057122062558
15875286958461	8057129828574	8057116360926,8057122062558
15875286925693	8057129828574	8057116360926,8057122062558
15849877569917	8057116360926,15848605319549	15875098476925,15875286958461,8057122062558
8463100870878	8057116360926,8057122062558	8057116360926,8057122062558
15875098476925	8057129828574	8057116360926,8057122062558
15875098018173	8057129828574	8057116360926,8057122062558
8057122062558	8057129828574	8057116360926
15848605319549	15848755888509,15849877569917	15874988048765,15875035627901,8057129828574
15875035627901	7855419490526	8057129828574
15875034055037	7855419490526	8057129828574
15848755888509	15222536044925	15222536044925
8057159712990	8463100870878	8057129828574
15874988048765	7710738055390,7855410544862,7855560720606	8057129828574
15874871722365	7710738055390,7855410544862,7855560720606	8057129828574
